站名,年月,單日雨量,經度,緯度
北投國小,20238,0,121.499824,25.133619
陽明高中,20238,0,121.516857,25.09266
太平國小,20238,0,121.511831,25.061093
民生國中,20238,0.5,121.56656,25.060044
中正國中,20238,0,121.522218,25.031927
三興國小,20238,0,121.558264,25.029317
格致國中,20238,0.5,121.545783,25.131378
平等國小,20238,1,121.57665,25.129446
至善國中,20238,0,121.556005,25.103701
碧湖國小,20238,0,121.591445,25.084736
東湖國小,20238,0,121.616621,25.069307
留公國中,20238,0.5,121.585566,25.037355
舊莊國小,20238,0,121.619889,25.039778
市政中心,20238,0.5,121.564625,25.037184
博嘉國小,20238,0,121.498825,25.028118
北政國中,20238,0,121.575444,25.002378
長安國小,20238,0.5,121.577678,24.984611
富德公墓,20238,0,121.530589,25.0492
萬華國中,20238,0,121.580111,25.011694
永建國小,20238,0,121.555,24.988
五常國小,20238,0.5,121.542194,25.064001
潭美國小,20238,0,121.581219,25.058997
仁愛國小,20238,0,121.551971,25.036236
興華國小,20238,0,121.559363,25.000094
台灣大學(新),20238,0,121.53893,25.014461
望星橋,20238,0,121.542652,25.096993
白馬山莊,20238,0,121.623235,25.077161
中和橋,20238,0,121.501944,25.138975
磺溪橋,20238,0,121.524257,25.118654
宜興橋,20238,0,121.620338,25.041981
雙溪,20238,0,121.569646,25.113829
湖田國小,20239,21,121.53895,25.168698
大屯國小,20239,9,121.50408,25.155133
桃源國中,20239,4,121.476976,25.134551
北投國小,20239,6.5,121.499824,25.133619
陽明高中,20239,8,121.516857,25.09266
太平國小,20239,9.5,121.511831,25.061093
民生國中,20239,13,121.56656,25.060044
中正國中,20239,12,121.522218,25.031927
三興國小,20239,18.5,121.558264,25.029317
格致國中,20239,9,121.545783,25.131378
平等國小,20239,17.5,121.57665,25.129446
至善國中,20239,11.5,121.556005,25.103701
碧湖國小,20239,20,121.591445,25.084736
東湖國小,20239,19.5,121.616621,25.069307
留公國中,20239,21,121.585566,25.037355
舊莊國小,20239,198.5,121.619889,25.039778
市政中心,20239,16,121.564625,25.037184
博嘉國小,20239,25.5,121.498825,25.028118
北政國中,20239,20,121.575444,25.002378
長安國小,20239,12.5,121.577678,24.984611
富德公墓,20239,29.5,121.530589,25.0492
萬華國中,20239,7.5,121.580111,25.011694
永建國小,20239,14,121.555,24.988
五常國小,20239,10,121.542194,25.064001
潭美國小,20239,15,121.581219,25.058997
仁愛國小,20239,14.5,121.551971,25.036236
興華國小,20239,16.5,121.559363,25.000094
台灣大學(新),20239,14.5,121.53893,25.014461
望星橋,20239,6.5,121.542652,25.096993
白馬山莊,20239,25.5,121.623235,25.077161
中和橋,20239,7.5,121.501944,25.138975
磺溪橋,20239,5.5,121.524257,25.118654
雙溪,20239,13,121.569646,25.113829
湖田國小,202310,124,121.53895,25.168698
大屯國小,202310,107.5,121.50408,25.155133
桃源國中,202310,57.5,121.476976,25.134551
北投國小,202310,55,121.499824,25.133619
陽明高中,202310,16,121.516857,25.09266
太平國小,202310,25,121.511831,25.061093
民生國中,202310,27.5,121.56656,25.060044
中正國中,202310,25.5,121.522218,25.031927
三興國小,202310,49,121.558264,25.029317
格致國中,202310,116.5,121.545783,25.131378
平等國小,202310,94,121.57665,25.129446
至善國中,202310,52,121.556005,25.103701
碧湖國小,202310,43.5,121.591445,25.084736
東湖國小,202310,36,121.616621,25.069307
留公國中,202310,53.5,121.585566,25.037355
舊莊國小,202310,75.5,121.619889,25.039778
市政中心,202310,49,121.564625,25.037184
博嘉國小,202310,46,121.498825,25.028118
北政國中,202310,67.5,121.575444,25.002378
長安國小,202310,20.5,121.577678,24.984611
萬華國中,202310,24,121.580111,25.011694
永建國小,202310,44,121.555,24.988
五常國小,202310,14.5,121.542194,25.064001
潭美國小,202310,36,121.581219,25.058997
仁愛國小,202310,47.5,121.551971,25.036236
興華國小,202310,37,121.559363,25.000094
台灣大學(新),202310,42.5,121.53893,25.014461
望星橋,202310,37.5,121.542652,25.096993
白馬山莊,202310,36.5,121.623235,25.077161
中和橋,202310,62.5,121.501944,25.138975
磺溪橋,202310,28,121.524257,25.118654
宜興橋,202310,0,121.620338,25.041981
雙溪,202310,32,121.569646,25.113829
湖田國小,202311,0,121.53895,25.168698
大屯國小,202311,0,121.50408,25.155133
桃源國中,202311,0,121.476976,25.134551
北投國小,202311,0,121.499824,25.133619
陽明高中,202311,0,121.516857,25.09266
太平國小,202311,0,121.511831,25.061093
民生國中,202311,0,121.56656,25.060044
中正國中,202311,0,121.522218,25.031927
三興國小,202311,0,121.558264,25.029317
格致國中,202311,0,121.545783,25.131378
平等國小,202311,0,121.57665,25.129446
至善國中,202311,0,121.556005,25.103701
碧湖國小,202311,0,121.591445,25.084736
東湖國小,202311,0,121.616621,25.069307
留公國中,202311,0,121.585566,25.037355
舊莊國小,202311,0,121.619889,25.039778
市政中心,202311,0,121.564625,25.037184
博嘉國小,202311,0,121.498825,25.028118
北政國中,202311,0,121.575444,25.002378
長安國小,202311,0,121.577678,24.984611
富德公墓,202311,0,121.530589,25.0492
萬華國中,202311,0,121.580111,25.011694
永建國小,202311,0,121.555,24.988
五常國小,202311,0,121.542194,25.064001
潭美國小,202311,0,121.581219,25.058997
仁愛國小,202311,0,121.551971,25.036236
興華國小,202311,0,121.559363,25.000094
台灣大學(新),202311,0,121.53893,25.014461
望星橋,202311,0,121.542652,25.096993
白馬山莊,202311,0,121.623235,25.077161
中和橋,202311,0,121.501944,25.138975
磺溪橋,202311,0,121.524257,25.118654
宜興橋,202311,0,121.620338,25.041981
雙溪,202311,0,121.569646,25.113829
湖田國小,202312,61,121.53895,25.168698
大屯國小,202312,65,121.50408,25.155133
桃源國中,202312,59.5,121.476976,25.134551
北投國小,202312,60,121.499824,25.133619
陽明高中,202312,54,121.516857,25.09266
太平國小,202312,62,121.511831,25.061093
民生國中,202312,53.5,121.56656,25.060044
中正國中,202312,58,121.522218,25.031927
三興國小,202312,56.5,121.558264,25.029317
格致國中,202312,61.5,121.545783,25.131378
平等國小,202312,60.5,121.57665,25.129446
至善國中,202312,56,121.556005,25.103701
碧湖國小,202312,58.5,121.591445,25.084736
東湖國小,202312,54.5,121.616621,25.069307
留公國中,202312,58,121.585566,25.037355
舊莊國小,202312,52.5,121.619889,25.039778
市政中心,202312,59,121.564625,25.037184
博嘉國小,202312,48,121.498825,25.028118
北政國中,202312,44,121.575444,25.002378
長安國小,202312,61.5,121.577678,24.984611
富德公墓,202312,53,121.530589,25.0492
萬華國中,202312,56,121.580111,25.011694
永建國小,202312,46,121.555,24.988
五常國小,202312,59,121.542194,25.064001
潭美國小,202312,55,121.581219,25.058997
仁愛國小,202312,55.5,121.551971,25.036236
興華國小,202312,47,121.559363,25.000094
台灣大學(新),202312,54.5,121.53893,25.014461
望星橋,202312,53,121.542652,25.096993
白馬山莊,202312,60.5,121.623235,25.077161
中和橋,202312,59,121.501944,25.138975
磺溪橋,202312,55,121.524257,25.118654
宜興橋,202312,52.5,121.620338,25.041981
雙溪,202312,57,121.569646,25.113829
